Objective loss,KLD
206.037,-0.0145126
205.91,-0.0146877
205.785,-0.0151483
205.666,-0.0152802
205.502,-0.016409
205.371,-0.016603
205.224,-0.017501
205.07,-0.0182612
204.959,-0.0186883
204.88,-0.019038
204.714,-0.0203217
204.621,-0.0206584
204.406,-0.0227994
204.341,-0.0231191
204.364,-0.0237398
203.959,-0.0271771
203.824,-0.0291987
203.55,-0.0324091
203.517,-0.0339905
203.535,-0.0357143
203.195,-0.0403452
203.256,-0.043253
202.732,-0.0500438
202.609,-0.0564608
202.343,-0.0636792
202.626,-0.0681076
201.804,-0.0831068
202.076,-0.0910053
201.533,-0.109376
201.118,-0.129029
200.938,-0.151027
200.765,-0.177458
200.779,-0.207795
199.645,-0.268851
199.587,-0.318672
198.436,-0.412265
198.217,-0.502441
197.312,-0.632566
196.042,-0.830077
195.047,-1.05566
193.038,-1.42992
192.006,-1.84381
188.481,-2.60129
185.535,-3.59152
180.9,-5.1042
174.675,-7.59159
167.763,-11.4677
156.305,-18.7454
138.286,-32.4512
111.489,-57.1752
64.4209,-102.872
-24.5945,-189.205
-215.572,-379.426
-3389.28,-3549.73
-290200.0,-290363.0
-6.93166e+07,-6.93167e+07
-4.50443e+10,-4.50443e+10
-9.75799e+13,-9.75799e+13
-1.32702e+18,-1.32702e+18
-1.17151e+18,-1.17151e+18
-1.11994e+18,-1.11994e+18
-1.17438e+18,-1.17438e+18
-1.12563e+18,-1.12563e+18
-1.34172e+18,-1.34172e+18
-1.2328e+18,-1.2328e+18
-1.25658e+18,-1.25658e+18
-1.29496e+18,-1.29496e+18
-1.34944e+18,-1.34944e+18
-1.13891e+18,-1.13891e+18
-1.30291e+18,-1.30291e+18
-1.16693e+18,-1.16693e+18
-1.36953e+18,-1.36953e+18
-1.08094e+18,-1.08094e+18
-1.1896e+18,-1.1896e+18
-1.01253e+18,-1.01253e+18
-1.23482e+18,-1.23482e+18
-1.21252e+18,-1.21252e+18
-1.14597e+18,-1.14597e+18
-1.02115e+18,-1.02115e+18
-1.04235e+18,-1.04235e+18
-1.1536e+18,-1.1536e+18
-1.05878e+18,-1.05878e+18
-1.33179e+18,-1.33179e+18
-1.29995e+18,-1.29995e+18
-1.13781e+18,-1.13781e+18
-1.15188e+18,-1.15188e+18
-1.2143e+18,-1.2143e+18
-1.14068e+18,-1.14068e+18
-1.28484e+18,-1.28484e+18
-1.24818e+18,-1.24818e+18
-1.27058e+18,-1.27058e+18
-1.04805e+18,-1.04805e+18
-1.15873e+18,-1.15873e+18
-1.16647e+18,-1.16647e+18
-1.21052e+18,-1.21052e+18
-1.20767e+18,-1.20767e+18
-1.19176e+18,-1.19176e+18
-1.17771e+18,-1.17771e+18
-1.12788e+18,-1.12788e+18
-1.12966e+18,-1.12966e+18
-1.27294e+18,-1.27294e+18
-1.20323e+18,-1.20323e+18
-1.20954e+18,-1.20954e+18
-1.39886e+18,-1.39886e+18
-1.10526e+18,-1.10526e+18
-1.15545e+18,-1.15545e+18
-1.04326e+18,-1.04326e+18
-1.1242e+18,-1.1242e+18
-1.23924e+18,-1.23924e+18
-1.12081e+18,-1.12081e+18
-1.00219e+18,-1.00219e+18
-1.14619e+18,-1.14619e+18
-1.24191e+18,-1.24191e+18
-1.10991e+18,-1.10991e+18
-1.27965e+18,-1.27965e+18
-9.53294e+17,-9.53295e+17
-1.18155e+18,-1.18155e+18
-1.24058e+18,-1.24058e+18
-1.03614e+18,-1.03614e+18
-1.19085e+18,-1.19085e+18
-1.2221e+18,-1.2221e+18
-1.27189e+18,-1.27189e+18
-9.70128e+17,-9.70128e+17
-1.26551e+18,-1.26551e+18
-1.19117e+18,-1.19117e+18
-1.07274e+18,-1.07274e+18
-1.36224e+18,-1.36224e+18
-1.19634e+18,-1.19634e+18
-1.28222e+18,-1.28222e+18
-1.07118e+18,-1.07118e+18
-9.3947e+17,-9.3947e+17
-1.20169e+18,-1.20169e+18
-1.02152e+18,-1.02152e+18
-1.21412e+18,-1.21412e+18
-1.10483e+18,-1.10483e+18
-1.16433e+18,-1.16433e+18
-1.26132e+18,-1.26132e+18
-9.61981e+17,-9.61982e+17
-1.21651e+18,-1.21651e+18
-1.17611e+18,-1.17611e+18
-1.26475e+18,-1.26475e+18
-1.18696e+18,-1.18696e+18
-1.22925e+18,-1.22925e+18
-1.20109e+18,-1.20109e+18
-9.23599e+17,-9.23599e+17
-1.06796e+18,-1.06796e+18
-1.20794e+18,-1.20794e+18
-1.25257e+18,-1.25257e+18
-1.13384e+18,-1.13384e+18
-1.09986e+18,-1.09986e+18
-1.18369e+18,-1.18369e+18
-1.09732e+18,-1.09732e+18
-1.09086e+18,-1.09086e+18
-1.04791e+18,-1.04791e+18
-1.23039e+18,-1.23039e+18
-1.24459e+18,-1.24459e+18
-1.32332e+18,-1.32332e+18
-1.0576e+18,-1.0576e+18
-1.29755e+18,-1.29755e+18
-1.26444e+18,-1.26444e+18
-8.92678e+17,-8.92678e+17
-1.14704e+18,-1.14704e+18
-1.26156e+18,-1.26156e+18
-1.29424e+18,-1.29424e+18
-1.46982e+18,-1.46982e+18
-1.08254e+18,-1.08254e+18
-1.03438e+18,-1.03438e+18
-1.30342e+18,-1.30342e+18
-1.23287e+18,-1.23287e+18
-1.22289e+18,-1.22289e+18
-1.12269e+18,-1.12269e+18
-1.23379e+18,-1.23379e+18
-1.2657e+18,-1.2657e+18
-1.05068e+18,-1.05068e+18
-1.13441e+18,-1.13441e+18
-1.1078e+18,-1.1078e+18
-1.27422e+18,-1.27422e+18
-1.3152e+18,-1.3152e+18
-1.12351e+18,-1.12351e+18
-1.15886e+18,-1.15886e+18
-1.13078e+18,-1.13078e+18
-1.23363e+18,-1.23363e+18
-1.12694e+18,-1.12694e+18
-1.26922e+18,-1.26922e+18
-9.42702e+17,-9.42702e+17
-1.1368e+18,-1.1368e+18
-1.18527e+18,-1.18527e+18
-1.22789e+18,-1.22789e+18
-1.19005e+18,-1.19005e+18
-1.06507e+18,-1.06507e+18
-1.18635e+18,-1.18635e+18
-1.04102e+18,-1.04102e+18
-1.05284e+18,-1.05284e+18
-1.10423e+18,-1.10423e+18
-1.10668e+18,-1.10668e+18
-1.03847e+18,-1.03847e+18
-1.17647e+18,-1.17647e+18
-1.08608e+18,-1.08608e+18
-1.28483e+18,-1.28483e+18
-1.16634e+18,-1.16634e+18
-1.16791e+18,-1.16791e+18
-1.21346e+18,-1.21346e+18
-1.1633e+18,-1.1633e+18
-1.01738e+18,-1.01738e+18
-1.10099e+18,-1.10099e+18
-1.07104e+18,-1.07104e+18
-1.12236e+18,-1.12236e+18
-1.11062e+18,-1.11062e+18
