Objective loss,KLD
-32497.8,-0.0119463
-32497.9,-0.0113225
-32498.0,-0.0115706
-32498.1,-0.010366
-32498.2,-0.0109113
-32498.3,-0.00985822
-32498.3,-0.00952943
-32498.4,-0.00890084
-32498.5,-0.00876233
-32498.5,-0.00820847
-32498.6,-0.00863913
-32498.7,-0.00770792
-32498.9,-0.00737179
-32498.8,-0.00713162
-32499.1,-0.00625155
-32499.2,-0.00644061
-32499.3,-0.00563909
-32499.2,-0.0054506
-32499.5,-0.00528594
-32499.6,-0.00512073
-32499.5,-0.00492088
-32500.0,-0.00455317
-32499.9,-0.0047724
-32499.9,-0.00451136
-32500.1,-0.00414111
-32499.9,-0.00398784
-32500.3,-0.00380626
-32500.6,-0.00380898
-32500.5,-0.00356766
-32500.8,-0.00352007
-32500.7,-0.00344424
-32501.0,-0.0034242
-32501.0,-0.00349253
-32501.2,-0.00352336
-32501.2,-0.00362908
-32501.6,-0.00346439
-32501.8,-0.00373417
-32502.2,-0.00380435
-32502.0,-0.00436828
-32503.4,-0.00452936
-32505.1,-0.00486411
-32504.6,-0.00527445
-32506.2,-0.00618536
-32507.6,-0.0068335
-32509.6,-0.00799597
-32510.8,-0.00903051
-32514.6,-0.0102283
-32520.0,-0.0113728
-32522.4,-0.013383
-32529.6,-0.015785
-32534.4,-0.0167634
-32542.4,-0.0194982
-32549.5,-0.0247843
-32556.9,-0.0273184
-32571.8,-0.0342039
-32570.2,-0.0379448
-32576.3,-0.0493896
-32574.8,-0.0447199
-32568.6,-0.0525681
-32568.8,-0.0334388
-32583.3,-0.0409785
-32573.5,-0.0320946
-32571.0,-0.0521203
-32574.8,-0.0384172
-32573.6,-0.0498417
-32565.1,-0.0304285
-32573.7,-0.0452626
-32574.1,-0.0288275
-32578.2,-0.0489551
-32573.2,-0.0317044
-32587.3,-0.0530073
-32574.3,-0.0380581
-32579.9,-0.0590472
-32578.9,-0.0313224
-32568.6,-0.0614348
-32579.8,-0.0323046
-32579.5,-0.0528087
-32569.6,-0.0271778
-32580.2,-0.0596147
-32583.0,-0.0286511
-32580.1,-0.0578975
-32578.6,-0.0280853
-32583.1,-0.0557312
-32591.6,-0.0251924
-32560.8,-0.0798385
-32589.8,-0.0240556
-32592.1,-0.0925249
-32583.5,-0.0452927
-32585.1,-0.248557
-32592.7,-0.100206
-32574.3,-0.448911
-32582.3,-0.143821
-32585.5,-1.38947
-32589.8,-0.775142
-32583.0,-2.61531
-32584.1,-0.618867
-32584.3,-3.64164
-32584.7,-0.819334
-32584.9,-4.05322
-32593.0,-0.927245
-32589.6,-1.3105
-32592.1,-0.415633
-32582.2,-1.12171
-32584.0,-0.342245
-32588.6,-1.93395
-32587.2,-2.23823
-32578.9,-2.63727
-32584.8,-1.11146
-32594.4,-2.44412
-32583.3,-3.85457
-32584.6,-2.51118
-32581.2,-2.32244
-32588.3,-2.48887
-32582.6,-2.74448
-32587.7,-1.93646
-32585.4,-3.4963
-32595.8,-1.59377
-32578.2,-3.27508
-32599.8,-4.0002
-32585.1,-4.81795
-32585.4,-8.02108
-32583.6,-3.08271
-32594.2,-4.19952
-32583.7,-1.70456
-32591.6,-0.588785
-32588.1,-0.212578
-32596.4,-0.178198
-32584.9,-0.824105
-32596.1,-1.29096
-32585.7,-4.33148
-32604.6,-3.53143
-32586.0,-5.78318
-32587.4,-4.78625
-32580.7,-1.51675
-32597.2,-1.51837
-32584.3,-1.37121
-32593.9,-0.830371
-32586.6,-2.89
-32600.9,-1.98678
-32592.4,-2.28961
-32597.3,-6.28676
-32569.2,-18.7868
-32595.7,-12.6309
-32600.5,-1.24555
-32581.0,-4.41158
-32581.8,-2.89181
-32599.5,-1.3074
-32585.0,-2.14838
-32600.7,-1.31981
-32589.5,-2.18663
-32610.4,-2.00173
-32595.6,-1.32978
-32597.4,-3.27336
-32594.1,-1.09201
-32600.6,-1.0889
-32595.6,-1.07554
-32607.0,-0.714276
-32603.1,-2.44464
-32601.1,-2.52067
-32598.6,-2.23919
-32612.0,-5.24614
-32599.0,-0.832792
-32602.5,-2.49773
-32609.4,-0.688846
-32607.7,-1.07633
-32595.4,-2.86475
-32609.9,-4.66076
-32611.6,-1.84139
-32603.3,-5.15179
-32598.1,-1.50664
-32598.4,-2.11909
-32602.9,-1.11423
-32602.0,-4.58413
-32595.7,-11.6308
-32603.4,-8.72802
-32566.6,-39.1766
-32563.6,-53.9292
-32480.8,-135.87
-32365.6,-250.082
-32572.3,-40.7215
-32609.5,-2.24739
-32583.8,-5.7119
-32583.1,-22.9961
-32604.2,-2.03067
-32576.8,-17.8646
-32613.1,-2.08066
-32609.4,-0.848605
-32602.9,-1.17996
-32618.5,-0.278806
-32602.4,-2.26872
-32612.7,-0.583517
-32616.4,-1.33206
-32609.7,-0.463441
-32611.8,-0.751139
-32617.2,-3.40241
-32615.5,-0.421687
-32608.1,-2.17297
-32621.1,-0.555004
-32609.3,-0.471217
-32615.2,-0.485101
-32613.1,-0.377526
-32615.3,-0.291285
-32615.6,-0.215992
-32616.0,-0.0671821
-32621.4,-0.0703926
-32614.7,-0.134201
-32615.0,-0.136714
-32616.5,-0.0382406
-32618.4,-0.037484
-32623.7,-0.024715
-32622.0,-0.0259499
-32615.1,-0.0158866
-32614.5,-0.0203852
-32617.1,-0.0262233
-32613.9,-0.0488169
-32616.8,-0.0248952
-32618.7,-0.0678044
-32625.5,-0.20953
-32616.9,-0.0443025
-32619.5,-0.201404
-32617.6,-0.35673
-32619.6,-0.926667
-32616.7,-0.416479
-32613.2,-2.72227
-32609.6,-8.54345
-32620.2,-11.7261
-32612.5,-2.00766
-32611.1,-13.5236
-32628.3,-0.922738
-32623.5,-0.572139
-32617.7,-0.887303
-32614.7,-0.768886
-32610.2,-2.05391
-32614.5,-0.48473
-32620.6,-0.373116
-32615.9,-0.104535
-32615.0,-0.133875
-32619.3,-0.0676621
-32616.0,-0.14309
-32614.0,-0.0763889
-32624.4,-0.00163679
-32616.4,-0.199808
-32616.7,-0.26837
-32618.9,-0.0560968
-32619.6,-0.0298972
-32620.5,-0.00794559
-32622.5,-0.0258287
-32620.5,-0.0518311
-32621.4,-0.150278
-32613.0,-0.0360145
-32608.8,-0.298788
-32619.6,-0.805992
-32623.8,-0.261917
-32617.0,-0.15594
-32615.1,-0.0969385
-32622.1,-0.115214
-32616.9,-0.0420482
-32624.3,-0.03734
-32621.0,-0.00224087
-32627.0,-0.0220646
-32628.1,-0.153745
-32622.8,-0.287053
-32621.1,-0.00153611
-32624.5,-0.40016
-32623.7,-0.108118
-32622.2,-0.0377857
-32619.1,-0.0209899
-32618.6,-0.0123187
-32618.5,-0.00253809
-32622.8,-0.00349259
-32631.6,-0.0122117
-32620.1,-0.0288156
-32620.2,-0.0510022
-32623.2,-0.0354659
-32615.7,-0.0177642
-32622.7,-0.0163489
-32621.6,-0.00599105
-32616.8,-0.0117526
-32623.1,-0.0813046
-32628.0,-0.249854
-32621.8,-0.226921
-32626.2,-1.14747
-32626.8,-0.950661
-32620.5,-0.142501
-32620.6,-0.545878
-32626.2,-1.01311
-32619.8,-0.0374875
-32616.2,-0.00828004
-32622.8,-0.0265611
-32624.3,-0.00924093
-32618.1,-0.017231
-32619.2,-0.0576235
-32622.5,-0.0909844
-32625.1,-0.082837
-32621.0,-0.0407563
-32617.7,-0.0620606
-32624.9,-0.0135033
-32626.7,-0.0151125
-32624.0,-0.305123
-32618.2,-3.05868
-32625.5,-0.169363
-32621.2,-0.0488917
-32625.5,-0.0128768
-32625.7,-0.0352168
-32623.0,-0.0363045
-32617.3,-0.0843527
-32617.9,-0.151551
-32620.0,-0.0521326
-32621.4,-0.123928
-32620.0,-0.0939437
-32621.9,-0.0205744
-32626.7,-0.0140495
-32621.7,-0.011664
-32624.1,-0.00950356
-32624.6,-0.00944015
-32622.9,-0.00977483
-32627.2,-0.00628555
-32621.5,-0.0173983
-32626.3,-0.0207713
-32621.3,-0.0919982
-32621.5,-0.0314317
-32622.0,-0.00913
-32631.8,-0.0238291
-32623.1,-0.0141235
-32625.9,-0.017471
-32628.3,-0.0276743
-32625.6,-0.0369048
-32628.0,-0.0054813
-32624.5,-0.0636269
-32623.6,-0.22594
-32625.0,-0.0276563
-32623.8,-0.0138449
-32622.3,-0.016013
-32624.3,-0.011333
-32624.3,-0.0077399
-32615.3,-0.00659115
-32626.9,-0.00412753
-32633.7,-0.00441527
-32622.0,-0.0100788
-32622.7,-0.0130585
-32621.1,-0.0169394
-32627.5,-0.0147458
-32620.9,-0.016045
-32614.3,-0.0142648
-32621.0,-0.0233937
-32625.6,-0.0107864
-32624.9,-0.058733
-32619.9,-0.0289272
-32622.0,-0.0100966
-32623.3,-0.120544
-32627.1,-0.416384
-32623.2,-0.0937541
-32626.0,-0.109249
-32620.9,-0.0846349
-32621.5,-0.031162
-32628.4,-0.00783376
-32624.9,-0.00723621
-32624.1,-0.000428456
-32623.3,-0.00214824
-32622.7,-0.00801163
-32623.0,-0.0111086
-32624.8,-0.00606088
-32625.1,-0.00493147
-32627.0,-0.397537
-32621.5,-0.263862
-32627.2,-0.0501684
-32626.2,-0.0317423
-32630.2,-0.04405
-32625.8,-0.0253633
-32624.2,-0.0142122
-32625.6,-0.00146304
-32622.6,-0.0189699
-32627.1,-0.0160564
-32623.0,-0.0149505
-32626.7,-0.013029
-32620.2,-0.0055409
-32621.6,-0.00882056
-32625.5,-0.0108731
-32630.5,-0.00799971
-32621.7,-0.0211417
-32623.1,-0.0918195
-32627.9,-0.19971
-32629.6,-0.0331567
-32626.5,-0.0145293
-32624.6,-0.0109748
-32628.6,-0.00451575
-32628.3,-0.0104055
-32623.3,-0.00336373
-32629.0,-0.00277229
-32622.5,-1.28936
-32622.5,-0.778758
-32626.4,-0.0377783
-32620.9,-0.036121
-32627.2,-0.0166551
-32628.3,-0.0116694
-32627.3,-0.00764242
-32622.5,-0.0217649
-32633.3,-0.00064684
-32621.4,-0.0228484
-32623.0,-0.117117
-32629.5,-0.0498512
-32624.8,-0.00175871
-32628.0,-0.0134609
-32628.0,-0.0100201
-32627.1,-0.0384404
-32619.2,-0.0202482
-32627.4,-0.0233567
-32635.5,-0.0242906
-32620.0,-0.0637873
-32630.8,-0.0741601
-32628.8,-0.156195
-32625.9,-0.499118
-32628.3,-0.014467
-32628.2,-0.0143743
-32623.9,-0.00378039
-32633.0,-0.0080975
-32629.4,-0.012278
-32626.4,-0.00471131
-32630.4,-0.0126916
-32625.9,-0.0247723
-32617.2,-0.00228164
-32623.4,-0.0118097
-32624.2,-0.0155451
-32623.9,-0.048008
-32624.5,-0.0451904
-32623.0,-0.0130176
-32632.2,-0.012553
-32624.8,-0.0161411
-32620.1,-0.00590158
-32622.7,-0.00556645
-32628.1,-0.0076139
-32623.5,-0.00895874
-32631.9,-0.00526045
-32630.7,-0.00975469
-32627.7,-0.0217728
-32626.3,-0.0145523
-32627.0,-0.00449924
-32624.8,-0.00357894
-32632.4,-0.003429
-32629.0,-0.0335538
-32622.0,-0.128306
-32632.5,-0.0340192
-32625.7,-0.012251
-32626.5,-0.0140216
-32630.4,-0.00866646
-32623.9,-0.0108911
-32627.2,-0.00725177
-32624.1,-0.00372835
-32617.4,-0.0121912
-32623.6,-0.0193512
-32622.2,-0.00947936
-32630.3,-0.00210739
-32626.4,-0.00497216
-32625.8,-0.0380316
-32623.7,-0.0608165
-32621.6,-0.0709216
-32629.2,-0.0172878
-32625.1,-0.0346641
-32631.3,-0.0101861
-32629.4,-0.0152132
-32627.0,-0.0156492
-32625.1,-0.0187898
-32633.2,-0.040184
-32626.2,-0.0185538
-32628.9,-0.00952307
-32623.5,-0.0100067
-32630.1,-0.00314442
-32632.8,-0.00358309
-32632.4,-0.00535403
-32625.4,-0.0123867
-32626.5,-0.0189407
-32622.2,-0.0384653
-32630.7,-0.170454
-32629.5,-0.061839
-32629.1,-0.00668689
-32633.0,-0.0124257
-32620.3,-0.00635664
-32626.9,-0.0334735
-32624.5,-0.0162424
-32627.1,-0.00969565
-32631.3,-0.00374631
-32624.8,-0.00727928
-32629.7,-0.00154226
-32629.5,-0.00558193
-32630.9,-0.004537
-32624.8,-0.00229043
-32628.3,-0.0210909
-32627.7,-0.00827433
-32635.1,-0.00809651
-32627.7,-0.0236696
-32622.5,-0.0118189
-32628.2,-0.00882804
-32634.0,-0.00764105
-32632.7,-0.0121342
-32629.2,-0.00807435
-32627.4,-0.0112413
-32626.0,-0.00679678
-32622.3,-0.00639223
-32620.2,-0.00402579
-32624.5,-0.00320448
-32630.9,-0.00647408
-32624.3,-0.0244897
-32630.9,-0.0491286
-32629.4,-0.005539
-32629.7,-0.0126333
-32622.7,-0.065804
-32623.8,-0.0168281
-32622.9,-0.0114873
-32629.1,-0.00258437
-32619.8,-0.00325872
-32624.4,-0.00443635
-32624.3,-0.00930498
-32625.2,-0.00431038
-32623.2,-0.00354957
-32620.6,-0.00247244
-32621.4,-0.00354163
-32619.4,-0.0050997
-32623.2,-0.00397447
-32622.8,-0.00537657
-32621.6,-0.00501766
-32620.1,-0.00398239
-32629.9,-0.00377801
-32623.8,-0.00692141
-32620.3,-0.0115128
-32623.3,-0.010017
-32620.5,-0.0110342
-32622.0,-0.0128559
-32622.6,-0.0366145
-32620.7,-0.0281274
-32617.2,-0.0210069
-32621.3,-0.00594421
-32623.6,-0.0106248
-32629.7,-0.0114036
-32620.6,-0.00700609
-32622.3,-0.0166395
-32623.4,-0.0190278
-32623.4,-0.00467979
-32624.4,-0.00292044
-32623.3,-0.00295342
-32621.3,-0.0057113
-32626.6,-0.00750152
-32625.7,-0.00477162
-32623.6,-0.00635282
-32626.9,-0.0246157
-32619.9,-0.0380154
-32624.0,-0.0237459
-32625.9,-0.0237397
-32628.8,-0.0505854
-32630.0,-0.00228868
-32628.2,-0.0125294
-32622.6,-0.0108499
-32624.9,-0.00478564
-32621.6,-0.00175751
-32631.7,-0.00715829
-32628.0,-0.00351195
-32623.5,-0.00194997
-32629.0,-0.00165353
-32625.7,-0.00918184
-32626.4,-0.00707671
-32625.4,-0.00224659
-32624.3,-0.0161856
-32630.4,-0.0167069
-32622.8,-0.0186317
-32626.2,-0.00636509
-32628.8,-0.00563367
-32632.2,-0.0100695
-32628.1,-0.00623405
-32627.2,-0.00439116
-32622.4,-0.0040556
-32626.2,-0.00894717
-32627.0,-0.0223672
-32632.0,-0.0273908
-32628.3,-0.00560915
-32624.5,-0.00439811
-32624.4,-0.00201441
-32625.9,-0.00267414
-32633.5,-0.00616643
-32624.9,-0.0078355
-32625.4,-0.00436312
-32629.6,-0.0178105
-32626.4,-0.00779037
-32624.5,-0.0160585
-32622.2,-0.0196473
-32625.5,-0.00417278
-32632.0,-0.00295316
-32627.7,-0.00650356
-32626.5,-0.0163488
-32624.7,-0.0141434
-32622.6,-0.00348865
-32629.6,-0.00351308
-32627.4,-0.00239623
-32625.9,-0.00494692
-32623.9,-0.00685039
-32628.1,-0.00433333
-32624.8,-0.00270955
-32627.8,-0.00394568
-32629.5,-0.00528289
-32622.5,-0.00406374
-32625.0,-0.00303472
-32624.0,-0.00964556
-32623.5,-0.00587353
-32624.9,-0.00446253
-32626.2,-0.0044304
-32620.9,-0.0122195
-32625.7,-0.0365114
-32630.1,-0.0231586
-32626.8,-0.00385973
-32629.0,-0.0111067
-32635.4,-0.00405775
-32627.6,-0.00285973
-32625.7,-0.00612314
-32622.1,-0.0153117
-32625.6,-0.0202074
-32629.1,-0.0039483
-32630.1,-0.00254729
-32623.2,-0.00353567
-32626.1,-0.00312329
-32624.3,-0.00326047
-32622.5,-0.00464469
-32633.2,-0.0050598
-32631.6,-0.0067747
-32627.1,-0.00476503
-32631.4,-0.00350646
-32616.9,-0.00279401
-32624.1,-0.00131834
-32622.0,-0.00201266
-32625.3,-0.00580611
-32631.5,-0.0112156
-32627.1,-0.0149727
-32625.8,-0.0297823
-32620.8,-0.0191233
-32626.6,-0.00521289
-32628.1,-0.00308226
-32629.6,-0.00400185
-32623.4,-0.00300761
-32627.2,-0.00298501
-32628.2,-0.00415035
-32627.8,-0.00341062
-32630.2,-0.00309896
-32628.0,-0.00388517
-32625.5,-0.00351826
-32621.1,-0.00298022
-32630.7,-0.0027848
-32625.0,-0.0136714
-32630.1,-0.0168628
-32623.2,-0.00420904
-32629.6,-0.00613206
-32625.6,-0.00565706
-32630.4,-0.00342292
-32627.0,-0.00664751
-32627.0,-0.011423
-32630.5,-0.0130369
-32629.6,-0.00366917
-32626.4,-0.025753
-32626.9,-0.0662267
-32625.1,-0.0102082
-32628.0,-0.0194756
-32624.5,-0.00927883
-32625.6,-0.00644881
-32629.9,-0.00256853
-32622.1,-0.00222722
-32628.8,-0.00204743
-32622.8,-0.00209296
-32626.9,-0.00417744
-32627.7,-0.00244322
-32624.8,-0.00241648
-32631.8,-0.0028417
-32627.0,-0.00658608
-32629.9,-0.00328376
-32630.8,-0.015419
-32629.1,-0.0193713
-32621.9,-0.00650066
-32626.6,-0.00488964
-32621.6,-0.00330691
-32636.0,-0.00319889
-32623.7,-0.00280808
-32630.2,-0.0143719
-32623.5,-0.0164263
-32622.3,-0.00400872
-32627.0,-0.0050352
-32630.9,-0.00360929
-32631.0,-0.00531715
-32623.4,-0.0110342
-32628.7,-0.00648865
-32627.5,-0.00596795
-32622.5,-0.0151135
-32628.8,-0.0273685
-32627.1,-0.0409807
-32625.5,-0.00894414
-32629.4,-0.00363924
-32631.0,-0.00978179
-32630.4,-0.00361927
-32627.9,-0.00236998
-32629.2,-0.00216279
-32624.0,-0.00284766
-32627.7,-0.00192149
-32627.0,-0.00230732
-32627.3,-0.00201489
-32620.3,-0.0021952
-32626.5,-0.00422995
-32629.9,-0.00418031
-32626.6,-0.00606854
-32626.2,-0.00558755
-32623.2,-0.00342282
-32619.4,-0.00507037
-32629.8,-0.00384801
-32627.4,-0.00974151
-32625.9,-0.00303103
-32623.1,-0.00974907
-32626.0,-0.00253446
-32634.1,-0.00291719
-32628.3,-0.00827429
-32628.9,-0.0184213
-32627.1,-0.00663998
-32626.3,-0.00452869
-32626.7,-0.0127233
-32630.9,-0.0129975
-32631.1,-0.00485889
-32633.5,-0.00536297
-32622.2,-0.0112152
-32624.9,-0.0061045
-32631.0,-0.00716568
-32631.3,-0.00162965
-32625.8,-0.013501
-32631.6,-0.021723
-32623.6,-0.00595998
-32626.7,-0.0329588
-32622.4,-0.0172894
-32634.8,-0.00461503
-32627.3,-0.00441676
-32624.6,-0.00316805
-32627.3,-0.00176074
-32623.4,-0.0020158
-32627.5,-0.00485538
-32624.9,-0.00612564
-32627.9,-0.00653376
-32625.2,-0.00851376
-32625.2,-0.0251219
-32625.6,-0.136234
-32631.1,-0.0280589
-32623.6,-0.00991489
-32627.0,-0.00868158
-32620.9,-0.00738778
-32623.7,-0.0148539
-32621.6,-0.0115199
-32622.2,-0.0129214
-32624.0,-0.00751696
-32615.6,-0.00292155
-32627.8,-0.00380627
-32628.0,-0.00573911
-32630.3,-0.0048533
-32624.4,-0.00582585
-32628.9,-0.00313911
-32626.6,-0.00242733
-32627.7,-0.00424286
-32627.4,-0.00525573
-32626.6,-0.00498043
-32624.9,-0.00967431
-32626.1,-0.00610694
-32631.8,-0.00419616
-32630.3,-0.00517934
-32632.4,-0.00770954
-32627.2,-0.0043838
-32634.5,-0.00574669
-32630.5,-0.0149176
-32628.7,-0.0464926
-32625.8,-0.0184481
-32625.1,-0.00455235
-32626.3,-0.00276771
-32630.1,-0.00276701
-32627.9,-0.00381844
-32623.2,-0.00520842
-32628.9,-0.00230086
-32622.6,-0.00206776
-32625.3,-0.00233874
-32630.7,-0.0018339
-32623.5,-0.00295976
-32625.8,-0.00246828
-32629.1,-0.00369804
-32632.1,-0.00544082
-32622.9,-0.00418502
-32625.2,-0.00458744
-32619.4,-0.00539617
-32626.8,-0.00402248
-32628.1,-0.00471772
-32620.2,-0.00433953
-32626.1,-0.00613273
-32622.5,-0.0122739
-32626.7,-0.0255842
-32629.0,-0.00899647
-32626.4,-0.00719354
-32626.8,-0.00416866
-32628.7,-0.00532238
-32630.8,-0.00699041
-32625.7,-0.00552037
-32628.5,-0.00662216
-32625.0,-0.00470924
-32627.9,-0.00608248
-32627.7,-0.00775326
-32627.6,-0.014292
-32626.7,-0.0174622
-32625.7,-0.0183856
-32625.0,-0.0095568
-32622.4,-0.00629403
-32630.4,-0.00339042
-32620.2,-0.00400331
-32627.4,-0.00455815
-32626.1,-0.00373099
-32634.9,-0.00200231
-32623.2,-0.00364066
-32630.8,-0.00389808
-32626.6,-0.00483459
-32623.4,-0.0105388
-32631.1,-0.0070456
-32624.9,-0.00639406
-32623.9,-0.00410278
-32624.0,-0.00534117
-32625.9,-0.00359417
-32626.4,-0.0052293
-32623.2,-0.016595
-32623.1,-0.0451984
-32621.3,-0.0116464
-32628.5,-0.00243064
-32624.5,-0.0035807
-32629.0,-0.00347605
-32631.4,-0.00900532
-32630.0,-0.0244746
-32631.3,-0.0154482
-32624.1,-0.00962937
-32626.4,-0.00403365
-32627.3,-0.0269092
-32627.2,-0.0122361
-32627.4,-0.0236528
-32632.7,-0.0113291
-32628.1,-0.0100042
-32623.1,-0.00545853
-32626.6,-0.0058532
-32631.7,-0.00948403
-32628.9,-0.00613114
-32628.3,-0.00757603
-32626.4,-0.00625527
-32626.2,-0.00241811
-32635.9,-0.0033644
-32631.8,-0.00703787
-32630.5,-0.00682781
-32636.7,-0.00987703
-32622.7,-0.0114446
-32631.5,-0.00842966
-32627.2,-0.00492895
-32625.9,-0.00971344
-32628.3,-0.00573828
-32627.8,-0.00504326
-32628.8,-0.0041538
-32623.0,-0.00430074
-32624.0,-0.00988243
-32627.9,-0.00859024
-32631.8,-0.00589298
-32627.6,-0.015729
-32625.1,-0.0233888
-32635.7,-0.0160865
-32623.6,-0.00510767
-32629.1,-0.00400586
-32629.8,-0.00726485
-32634.0,-0.00894405
-32628.2,-0.00647058
-32627.8,-0.00266842
-32628.4,-0.00237282
-32624.4,-0.00633931
-32626.1,-0.0118053
-32625.4,-0.0156296
-32626.7,-0.0252039
-32627.6,-0.0195289
-32624.9,-0.0060301
-32629.8,-0.00578395
-32630.9,-0.00513901
-32623.4,-0.00426995
-32625.3,-0.00385987
-32621.1,-0.00535151
-32627.7,-0.00842954
-32628.3,-0.00681876
-32628.6,-0.00673935
-32631.3,-0.0155511
-32626.2,-0.0125016
