Objective loss,KLD
-32497.8,-0.0122674
-32497.9,-0.0117768
-32498.0,-0.0114469
-32498.1,-0.0109864
-32498.2,-0.0103198
-32498.3,-0.0103506
-32498.3,-0.00959345
-32498.5,-0.00943798
-32498.5,-0.00804227
-32498.6,-0.00863024
-32498.7,-0.00736163
-32498.8,-0.00810212
-32498.8,-0.00724718
-32498.7,-0.0068969
-32499.0,-0.00637335
-32499.0,-0.00600125
-32499.1,-0.00589259
-32499.2,-0.00549242
-32499.4,-0.00515432
-32499.3,-0.00501983
-32499.4,-0.00465725
-32499.7,-0.00444018
-32499.7,-0.0043669
-32499.8,-0.00408845
-32499.9,-0.00375934
-32500.2,-0.00367381
-32500.1,-0.0034563
-32500.4,-0.0036372
-32500.6,-0.0034316
-32500.7,-0.0032942
-32500.6,-0.00332308
-32500.8,-0.00322024
-32500.9,-0.00314196
-32501.3,-0.00313931
-32501.5,-0.00299844
-32501.6,-0.00308753
-32502.0,-0.00332034
-32501.8,-0.00328787
-32502.5,-0.00357943
-32503.4,-0.00355834
-32504.2,-0.00406206
-32504.3,-0.00447234
-32505.9,-0.00499189
-32506.1,-0.00516008
-32507.7,-0.00619921
-32508.3,-0.00694668
-32511.1,-0.00801457
-32515.1,-0.00897613
-32518.5,-0.0105277
-32524.5,-0.0115077
-32529.9,-0.0134103
-32534.9,-0.0158212
-32546.7,-0.017327
-32552.9,-0.0209052
-32560.6,-0.0237828
-32569.3,-0.0297452
-32572.2,-0.0361514
-32573.7,-0.0251321
-32566.3,-0.0328678
-32587.5,-0.0235083
-32573.9,-0.0348753
-32568.8,-0.0266658
-32569.8,-0.0361038
-32575.9,-0.0248422
-32577.6,-0.0362734
-32573.8,-0.0262419
-32573.3,-0.037019
-32574.4,-0.0254512
-32575.2,-0.0370226
-32578.4,-0.025407
-32573.4,-0.038054
-32585.0,-0.0244332
-32572.6,-0.0374993
-32566.2,-0.0278709
-32577.5,-0.0370848
-32577.8,-0.0231445
-32572.1,-0.0415521
-32572.9,-0.0223197
-32574.0,-0.0416934
-32576.6,-0.0275362
-32580.3,-0.0435411
-32582.5,-0.0213297
-32577.4,-0.0488643
-32587.9,-0.0235735
-32569.7,-0.0529098
-32580.6,-0.0220721
-32571.4,-0.0669841
-32582.2,-0.0237034
-32573.3,-0.0734819
-32593.6,-0.0239123
-32581.2,-0.117167
-32585.3,-0.0599059
-32578.7,-0.593338
-32590.8,-0.461441
-32572.6,-3.72217
-32587.5,-0.814189
-32577.7,-3.32373
-32585.5,-0.846668
-32578.5,-3.34859
-32584.0,-0.462102
-32571.2,-3.08855
-32587.2,-0.376132
-32585.1,-1.98975
-32594.8,-1.1674
-32599.8,-2.2961
-32586.7,-2.13567
-32584.5,-2.18247
-32588.5,-1.22055
-32585.9,-1.13891
-32579.1,-1.16782
-32590.3,-3.37564
-32588.1,-3.11447
-32589.6,-3.3377
-32591.7,-3.04259
-32589.9,-2.41741
-32585.6,-3.20537
-32596.5,-2.54433
-32580.3,-4.09836
-32589.0,-4.2543
-32581.4,-2.81974
-32587.1,-2.50231
-32582.2,-1.98333
-32593.3,-1.39964
-32584.0,-2.64134
-32588.6,-2.10792
-32582.8,-3.4195
-32597.3,-2.7343
-32587.1,-3.76431
-32594.3,-9.15674
-32589.1,-2.69293
-32586.9,-3.69567
-32589.3,-1.12301
-32588.3,-0.490442
-32584.1,-0.542831
-32598.8,-0.925861
-32585.1,-4.76089
-32589.5,-2.28646
-32593.8,-2.68861
-32597.1,-3.80382
-32590.2,-1.28406
-32600.8,-1.37874
-32581.8,-2.33785
-32597.6,-3.93693
-32597.8,-0.931279
-32599.9,-1.42667
-32594.7,-0.424314
-32594.7,-0.30131
-32594.6,-1.92981
