Objective loss,KLD,Mutual loss
206.709,0.0234402,0.50558
206.602,0.0200748,0.4952
206.505,0.0219705,0.503127
206.422,0.0200484,0.504328
206.298,0.0203587,0.497324
206.204,0.0199425,0.501248
206.111,0.0189415,0.503276
205.957,0.0189837,0.495856
205.942,0.0192537,0.492972
205.857,0.0162301,0.499884
205.687,0.0163109,0.49418
205.66,0.0147553,0.500333
205.424,0.0157957,0.498934
205.392,0.0151063,0.49593
205.284,0.0150717,0.501117
205.118,0.0155344,0.500199
205.118,0.0144022,0.503615
204.908,0.0146068,0.49471
204.73,0.0133188,0.507928
205.044,0.0139292,0.496797
204.624,0.0129765,0.499169
204.605,0.0133669,0.499946
204.439,0.0126255,0.501728
204.301,0.0121463,0.503773
204.083,0.0118029,0.502053
204.275,0.0116203,0.500569
203.899,0.0118205,0.499591
203.966,0.0108527,0.496482
203.905,0.0121697,0.495466
203.617,0.0112556,0.499845
203.685,0.0104796,0.49811
203.334,0.0106925,0.500828
203.578,0.0103953,0.501128
203.526,0.0101091,0.497151
203.145,0.0102277,0.49955
203.159,0.00984824,0.49566
203.274,0.00966752,0.500066
202.886,0.00993878,0.503234
202.883,0.00947358,0.503036
202.666,0.0093052,0.501756
202.687,0.00935756,0.490452
202.389,0.00905494,0.498368
202.139,0.0093647,0.50115
202.388,0.00862619,0.497917
202.043,0.00938526,0.500477
202.324,0.00936013,0.501532
202.177,0.00869261,0.499558
201.93,0.00882268,0.506081
201.747,0.0084586,0.502696
201.506,0.0088964,0.497706
201.775,0.00858226,0.500786
201.347,0.00857,0.508346
201.627,0.00847977,0.497916
201.594,0.00823686,0.497091
200.683,0.0085616,0.502161
200.902,0.00824917,0.498417
201.206,0.00803844,0.504385
201.288,0.00820778,0.498195
201.297,0.00799669,0.502051
200.706,0.00808346,0.495387
200.271,0.00834576,0.501058
199.854,0.0078536,0.498389
200.0,0.00815627,0.497039
199.819,0.00802354,0.498637
200.588,0.00795506,0.503811
200.177,0.00805068,0.501827
200.041,0.00830973,0.504802
199.606,0.00815864,0.503276
199.377,0.00802043,0.505074
199.461,0.007495,0.499957
199.174,0.00774125,0.500751
199.288,0.00796747,0.500232
199.591,0.00787241,0.499465
199.122,0.00811676,0.49907
198.979,0.00815814,0.497223
199.309,0.00766693,0.50149
200.318,0.00779529,0.503849
199.362,0.00785195,0.497509
198.298,0.00791514,0.507406
198.012,0.00779609,0.498818
198.603,0.00764751,0.504867
198.563,0.00742462,0.500495
197.639,0.00817181,0.49887
197.967,0.008254,0.499209
197.675,0.00800578,0.502418
198.064,0.0084326,0.506157
197.584,0.00844437,0.492256
197.325,0.00774057,0.503
196.805,0.00808966,0.505397
196.677,0.0085098,0.504203
197.207,0.00875354,0.500229
198.107,0.00793139,0.501292
196.845,0.00855375,0.50292
196.375,0.00848236,0.502698
196.391,0.00840157,0.495592
196.675,0.0084254,0.501
195.737,0.0086679,0.498343
196.462,0.0085406,0.499233
194.82,0.00882994,0.501061
196.953,0.00836809,0.500811
195.601,0.00867495,0.498784
193.813,0.0097926,0.499402
195.071,0.00900615,0.497758
195.213,0.0096224,0.502869
195.07,0.00956018,0.504838
194.84,0.00899755,0.50418
194.955,0.00993846,0.501285
195.977,0.0097424,0.498929
194.138,0.0099044,0.499539
194.991,0.00911307,0.49844
194.299,0.00976258,0.502598
195.462,0.00981875,0.501524
193.438,0.0105656,0.502266
193.885,0.0100349,0.496949
193.725,0.00997123,0.502405
193.83,0.0100934,0.499349
193.872,0.0101867,0.497127
191.553,0.0113405,0.493718
194.294,0.0109027,0.499089
192.466,0.0107642,0.498244
192.794,0.0107914,0.503276
190.683,0.0108381,0.50161
191.597,0.0118824,0.494362
192.642,0.0117562,0.503553
193.237,0.0119448,0.505779
192.071,0.0119318,0.497264
192.021,0.012015,0.500005
192.262,0.0123633,0.504811
192.741,0.0117113,0.500206
191.719,0.0124456,0.501405
191.437,0.0123471,0.503916
192.044,0.0131986,0.498691
191.415,0.0123623,0.505295
191.689,0.0132167,0.498958
190.252,0.0137671,0.497411
190.701,0.013282,0.503244
190.451,0.0138576,0.503982
190.192,0.0138454,0.495176
189.278,0.0143107,0.500821
190.305,0.013927,0.506513
189.912,0.0144786,0.498897
189.96,0.0137185,0.503106
190.646,0.0145385,0.498344
189.883,0.0145419,0.496457
189.143,0.0150765,0.497824
188.488,0.0140421,0.502115
190.765,0.0150481,0.495164
188.512,0.0157042,0.500885
188.615,0.0153409,0.500252
189.248,0.0168649,0.50077
187.878,0.0157487,0.496278
187.409,0.0168206,0.494917
187.805,0.0152747,0.497701
185.71,0.0169125,0.501298
185.023,0.0167806,0.499182
187.269,0.0180905,0.495324
188.938,0.0169848,0.497057
186.401,0.0182028,0.498613
185.079,0.0179146,0.502639
185.579,0.0184557,0.497444
186.166,0.0185045,0.498439
186.114,0.0198566,0.501797
185.844,0.018913,0.496282
183.253,0.0182418,0.503242
184.667,0.0204504,0.501789
185.172,0.0190354,0.494434
185.587,0.0198429,0.499156
183.407,0.022038,0.497865
184.295,0.0195221,0.500571
185.26,0.0205625,0.499037
183.021,0.0224595,0.499051
183.49,0.0210594,0.503686
180.734,0.0211994,0.496348
182.734,0.0208119,0.496853
181.7,0.0229633,0.499946
180.483,0.0229004,0.498369
179.327,0.0235085,0.498419
179.533,0.0236971,0.502457
180.035,0.0238859,0.500107
178.539,0.0240612,0.497765
178.506,0.0235898,0.499968
178.695,0.0242992,0.502844
178.333,0.0251479,0.499749
178.422,0.0271245,0.500674
181.552,0.0243491,0.499223
177.371,0.0266948,0.498238
176.667,0.0277627,0.498165
175.454,0.0252319,0.503131
177.184,0.0252888,0.507092
176.53,0.0261887,0.500903
179.596,0.0274957,0.500136
174.898,0.028419,0.497677
174.205,0.0276248,0.499589
175.194,0.0289206,0.500763
175.22,0.0287272,0.498137
171.66,0.0298082,0.50512
175.616,0.0286742,0.498249
171.193,0.0306657,0.500904
173.181,0.0273883,0.503161
172.615,0.0318523,0.500713
171.296,0.0295771,0.500269
168.542,0.0319329,0.503545
169.976,0.0330443,0.491967
172.95,0.0314638,0.500197
170.538,0.0324442,0.498318
168.545,0.0340893,0.500347
168.154,0.0332369,0.499655
166.598,0.0336241,0.492047
169.721,0.0328333,0.500451
167.611,0.0344838,0.501405
167.318,0.0341696,0.503488
168.198,0.0332877,0.505251
165.902,0.0371904,0.504413
167.536,0.0351852,0.497489
164.956,0.0354813,0.499548
162.921,0.0388126,0.502415
162.619,0.0376529,0.499271
165.218,0.0389704,0.504403
160.382,0.0377405,0.496745
165.958,0.0370632,0.501851
160.071,0.0384308,0.500399
159.887,0.0403619,0.5026
158.805,0.0374509,0.495789
158.848,0.041272,0.504026
156.731,0.0426483,0.498999
160.375,0.0383927,0.499916
161.487,0.0429886,0.504067
157.271,0.0411964,0.498104
155.396,0.043149,0.49985
155.103,0.0436407,0.498248
151.387,0.0424866,0.500774
158.039,0.0426438,0.49677
152.788,0.0467248,0.502275
154.382,0.0457356,0.499596
149.078,0.0478731,0.49939
151.098,0.0450086,0.499316
