Decoder loss,KLD,Mutual loss
91.5911,6.09288e-05,0.502008
89.757,6.20513e-05,0.495409
87.8787,6.36433e-05,0.504491
85.8222,6.57574e-05,0.501381
83.417,6.84733e-05,0.506058
